m2011.3,,,,,,,,只增不减,注释,坏帐
,,12,午饭,,,102,,,a,0.5
,23,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,11,午饭,,,,,,a,0
,,13,买菜,,,,,,a,0
,,2,馒头,,,73,,,a,-1
,25,,,,,,,,a,0
,,7,午饭,,,,,,a,0
,,12,衣架,,,54,,,a,0
,,,,,,454,30,,a,0
,26,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,10,午饭,,,,,,a,0
,,7,买菜,,,436,,,a,1
,27,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,10.5,买菜,,,412,,,a,0.5
,28,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,13,午饭,,,397,,,a,0
,29,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,6.5,买菜,,,374,,,a,0
,,2.5,馒头,,,,,,a,0
,30,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,4,馒头,,,,,,a,0
,,3,空心饼,,,,,,a,0
,,,,,,,,,a,0
m2011.10,,511.5,,,,,,,a,0
,1,,,,,,,,a,0
,,,,,,,,,a,0
,,8,香肠,,,,,,a,0
,,13,晚饭,1,纸巾,,,,a,0
,,1.5,买菜,,,330,,,a,0.5
,,,,,,1630,30,30277,发月钱了,0
,,,,600,交行信用卡,,,,a,0
,,,,200,招商打卡,,,,a,0
,,,,,,830,,,a,0
,2,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,9,酱油,,,819,,,a,0
,3,,,,,,,,a,0
,,3,早饭,,,816,,,a,0
,4,,,,,,,,a,0
,,3,早饭,,,813,,,a,0
,5,,,,,,,,a,0
,,4,早饭,,,,,,a,0
,,,,148,鞋,,,,a,0
,,,,15,理发,,,,a,0
,,,,,,646,,,a,0
,6,,,,,,,,a,0
,,4,早饭,,,642,,,a,0
,7,,,,,,,,a,0
,,4,早饭,,,,,,a,0
,,13,晚饭,,,,,,a,0
,,9.5,买菜,,,,,,a,0
,8,,,,,,,,a,0
,,4,馒头,,,,,,a,0
,,3,花生,,,,,,a,0
,,16.5,方便面,,,592,,,a,0
,9,,,,,,,,a,0
,,10,晚饭,,,582,,,a,0
,10,,,,,,,,a,0
,,,,150,电话充值,,,,305,0
,,,,150,电话充值,582,,,267,0
,,4,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,7,买菜,,,,,,a,0
,11,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,11,午饭,,,,,,a,0
,,8.5,买菜,,,537.5,,,a,0
,12,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,13,午饭,,,,,,a,0
,,6.5,买菜,,,516,,,a,0
,13,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,13,午饭,,,,,,a,0
,,12.5,晚饭,,,,,,a,0
,,,,301,红包,186.5,,,a,0
,14,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,12,午饭,,,171.5,,,a,0
,15,,,,,,,,a,0
,,,,188,招商打卡,,,,a,0
,,2,早饭,,,,,,a,0
,,4,水,,,,,,a,0
,,7,面包,,,,,,a,0
,,35,下山饭,,,,,,a,0
,,5,鸭脖,,,30.5,,,a,0
,16,,,,,630.5,30,30877,发月钱了,0
,,3,早饭,,,,,,a,0
,,12.5,买菜,,,,,,a,0
,17,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,2.5,买菜,,,,,,a,0
,,2,馒头,,,596.5,,,a,0
,18,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,10,午饭,,,,,,a,0
,,7,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,575.5,,,a,0
,19,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,8.5,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,4,锅巴,,,,,,a,0
,,,,,,547,,,a,0
,20,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,6,午饭,,,,,,a,0
,,10,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,21,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,12,晚饭,188,招商打卡,,,,a,0
,,,,,,313,,,a,0
,22,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,2,馒头,,,,,,a,0
,,8,买菜,,,,,,a,0
,,,,3,牙膏,,,,a,0
,,,,,,,,,a,0
,24,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,11,午饭,,,,,,a,0
,,,,,,285,,,a,0
,,,,,,343,,,烤鱼套现,58
,25,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,11,午饭,,,,,,a,0
,,6.5,买菜,,,,,,a,0
,,2,馒头,,,320.5,,,a,0
,26,,,,,,,,a,0
,,4,早饭,,,,,,a,0
,,12,午饭,,,304.5,,,a,0
,27,,,,,1104.5,30,31677,发月钱了,0
,,3,早饭,,,,,,a,0
,,65,油,200,交行信用卡,,,,a,0
,,,,,,836.5,,,,
,28,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,27.5,登山食品,13.5,手电,787,,,a,7
,29,,,,,,,,a,0
,,2.5,早饭,30,车费,,,,箭扣,0
,,5,鸡蛋,,,,,,a,0
,,,,,,749.5,,,a,0
,30,,,,,,,,a,0
,,,,4,地铁,,,,a,0
,,,,258,背包,,,,a,0
,,3,冰糖葫芦,,,,,,a,0
,,3,臭豆腐,0.5,停车,,,,a,0
,,1.2,俩包子,9,自行车,,,,"车闸,踏板",0
,,,,24,买书,,,,a,0
,31,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,11,午饭,,,,,,a,0
,,5,买菜,,,,,,a,0
,,,,,,425,,,a,-3
m2011.11,,607.2,,,,,,,a,0
,1,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,2,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,13,午饭,,,,,,a,0
,,3,买菜,,,,,,a,0
,,,,,,389,,,a,0
,3,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,,,,,374,,,a,0
,4,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,10.5,买菜,,,,,,a,0
,,2,馒头,2,红包,,,,a,0
,5,,,,,,,,a,0
,,5,鸭脖,,,,,,a,0
,,3,豆腐,,,,,,a,0
,,,,,,336.5,,,a,0
,,,,,,1336.5,30,32667,发月钱了,0
,,,,190,招商打卡,,,,a,0
,,,,300,红包,846.5,,,a,0
,6,,,,,,,,a,0
,,,,15,理发,,,,a,0
,,,,15,手套,,,,a,0
,,,,5,手套,,,,a,0
,,7,薯片,,,,,,a,0
,,15,晚饭,,,,,,a,0
,,,,,,789.5,,,a,0
,7,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,16,午饭,,,,,,a,0
,,2,馒头,,,,,,a,0
,8,,,,,,,,a,0
,,4,早饭,,,,,,a,0
,,16,午饭,,,,,,a,0
,,12.5,晚饭,,,,,,a,0
,,,,,,736,,,a,0
,9,,,,,,,,a,0
,,3,早饭,,,,,,a,0
,,11,午饭,,,,,,a,0
,,2,馒头,,,720,,,a,0
,10,,,,,,,,a,0
,,3.5,早饭,,,,,,a,0
,,13,午饭,,,,,,a,0
,,,,160,招商打卡,,,,a,0
,,,,,,543.5,,,a,0
,11,,,,,,,,a,0
,,3.5,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,12.5,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,40.5,爬山采购,,,,,,a,0
,,,,,,473,,,a,0
,12,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,50,爬山腐败,,,,,,a,0
,14,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,12,午饭,,,,,,a,0
,,8,买饭,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,395,,,a,0
,15,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,12,午饭,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,16,3,早餐,,,,,,a,0
,,9,午饭,,,,,,a,0
,,,,,,,,,a,0
,17,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午饭,,,,,,a,0
,,12.5,晚饭,,,339.5,,,a,-0.5
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,9339.5,30,41667,发月钱了,0
,,,,5000,转卡,4339.5,30,41667,a,0
,18,,,,,,,,a,0
,,2.5,早餐,,,,,,a,0
,,13,午饭,,,4324,,,a,0
,19,,,,,,,,a,0
,,,,3200,魔鬼,,,,a,0
,,,,100,交通卡,,,,a,0
,,,,258,招商打卡,,,,a,0
,,10,午饭,,,,,,a,0
,,18.5,晚饭,,,,,,a,0
,20,,,,,,,,a,0
,,3,午饭,,,,,,a,0
,,9,买菜,,,,,,a,0
,,13.5,香油,,,,,,a,0
,,,,,,711.5,,,a,0
,,,,,,711.5,2805,44442,账号转换,0
,21,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,2,馒头,,,,,,a,0
,,4,盐,4,香皂,686,,,a,0
,22,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,217,交行信用卡,,,,a,0
,,3.5,买菜,160,招商打卡,,,,a,0
,,,,200,招商打卡,,,,a,0
,,,,,,307,2588,,a,0
,23,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,11,午餐,,,,,,a,0
,,,,,,293,,,a,0
,,,,,,1293,1588,,a,0
,24,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,11,午餐,45,鼠标,,,,a,0
,,1,馒头,,,1233,,,a,0
,25,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,13,午餐,,,,,,a,0
,,,,2,毽子,,,,a,0
,26,,,,,,,,a,0
,,22.5,午饭,200,改造,,,,a,0
,,18.5,魔午饭,159,招商打卡,,,,a,0
,,30,晚饭,,,,,,a,0
,,11.5,方便面,,,,,,a,0
,,8,饼干,,,,,,a,0
,,,,,,755.5,,,a,-9.5
,28,,,,,,,,a,0
,,3.5,早餐,180,衣服,,,,a,0
,,12,午餐,160,招商打卡,,,,a,0
,,12,买菜,,,,,,a,0
,,,,,,388,,,a,0
,29,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,13,午餐,,,,,,a,0
,,,,,,,,,a,0
,30,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,1,馒头,,,,,,,
,,7,买菜,,,,,,a,0
m2011.12,,711.5,,,,,,,a,0
,1,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,1,馒头,,,,,,a,0
,,1,买菜,,,,,,a,0
,,,,,,330.5,,,a,0
,2,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,,,,,355.5,,,飞镖赛,40
,,45,滑雪采购,,,,,,a,0
,,,,,,310.5,,,a,0
,,,,,,710.5,1288,,a,0
,,,,,,,8110,51264,发月钱了,0
,3,,,,,,,,a,0
,,3.5,早餐,30,滑雪门票,,,,a,0
,,,,40,车票,,,,a,0
,,,,32,晚餐,,,,a,0
,,,,360,招商打卡,,,,a,0
,4,,,,,,,,a,0
,,1,馒头,,,,,,a,0
,,16.5,买菜,,,,,,a,0
,,20,胶带,140,修暖气,,,,a,0
,,1,生胶带,,,,,,a,0
,,4.5,锅巴,,,,,,a,0
,,3,哥俩好,,,,,,a,0
,,,,,,59,,,a,0
,,,,,,659,7510,,a,0
,5,,,,,,,,a,0
,,15,午餐,360,招商打卡,,,,a,0
,,,,,,,,,a,0
,,,,,,284,,,a,0
,6,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,2,馒头,,,,,,a,0
,,3,豆腐,,,264,,,a,0
,7,,,,,,,,a,0
,,4,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,1,馒头,,,,,,a,0
,,,,,,247,,,a,0
,8,,,1200,招商信用卡,,,,a,0
,,,,1952,形象改造,297,4308,,a,0
,,,,,,597,4008,,a,0
,,4,早餐,,,,,,a,0
,,15,午餐,,,,,,a,0
,,,,,,578,,,a,0
,9,,,,,,,,a,0
,,3.5,午餐,150,招商打卡,,,,a,0
,,13.5,买菜,,,,,,a,0
,,3,馒头,6,地铁,398.5,,,a,-3.5
,,,,,,618.5,,,改造返利,200
,12,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,13,午餐,,,602.5,,,a,0
,13,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,12,午餐,,,587.5,,,a,0
,14,,,,,,,,a,0
,,4,早餐,,,,,,a,0
,,13,午餐,160,招商打卡,405.5,,,a,0
,15,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,15,午餐,,,,,,a,0
,,10,晚餐,,,370,,,a,0
,16,,,,,,,,a,0
,,3.5,早餐,800,红包,,,,a,0
,,11,午餐,,,,,,a,0
,,5,挂面,5,红包,555.5,3006,,手续费,-2
,17,,,,,,,,a,0
,,,,4,地铁,,,,a,0
,,75,爬山年会,,,,,,a,0
,,2,馒头,,,,,,a,0
,18,,,,,,,,a,0
,,,,16,机场大巴,,,,a,0
,19,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,431.5,,,a,-1.5
,20,,,,,,,,a,0
,,4,早餐,160,招商打卡,,,,a,0
,,12,午餐,15,理发,,,,a,0
,,6.5,买菜,,,233.5,,,a,-0.5
,21,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,2,馒头,,,216,,,a,0
,22,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,15,午餐,,,,,,a,0
,,10,水饺,3.5,牙膏,184.5,,,a,0
,23,,,,,,,,a,0
,,3,早餐,,,,,,a,0
,,12,午餐,,,169.5,,,a,0
,24,,,,,1669.5,1513,,利息?,7
,,2,馒头,500,红包,,,,a,0
,,9.5,买菜,40,贴膜,,,,a,0
,25,,,,,,,,a,0
,,90,吃饭,,,,,,a,0
,,,,,,1028,,,a,0
,26,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,,3,馒头,,,1009.5,,,a,0
,27,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,11,午餐,,,995,,,a,0
,28,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
,29,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,13,午餐,,,,,,a,0
,,15.5,晚餐,,,946.5,,,a,-1
,30,,,,,,,,a,0
,,4,早餐,,,,,,a,0
,,12,午餐,,,930.5,,,a,0
,31,,,,,,,,a,0
,,3.5,早餐,,,,,,a,0
,,12,午餐,,,,,,a,0
m2012.1,,703,,,,,,,a,0
,1,7,午饭,,,,,,a,0
,,36.5,爬山采购,,,,,,a,0
,2,,,601,招商打卡,,,,a,0
,,11.5,方便面,,,,,,a,0
,,,,14,车票,,,,a,0
,,,,4,地铁,,,,a,0
,3,,,,,,,,a,0
,,9,午饭,4,地铁,,,,a,0
,,,,,,240.5,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
